Reference,year,co2,CO2 low,CO2 high
,(Ma),(ppm),(ppm),(ppm)
"Suchecky et al., 1988",198,3010,,
,208,3160,1800,5400
,216,4500,3000,6000
"Platt, 1989",143,2100,1600,2600
"Cerling, 1991",208,2500,2000,3000
"Cerling, 1992",4,300,0,1000
,8,500,0,1000
,14,500,0,1000
,53,300,0,1000
,106,2250,1500,3000
"Koch et al., 1992",56,200,0,350
,56,200,0,350
"Muchez et al., 1993",343,1310,690,1890
"Sinha & Stott, 1994",56,500,300,700
,56,500,300,700
"Andrews et al., 1995",68,300,0,1300
"Mora et al., 1996",285,175,150,200
,303,625,450,800
,322,725,600,1000
,322,525,450,600
,322,800,600,1000
,336,475,450,500
,365,988,700,1275
,367,1500,950,2050
,419,4200,3200,5200
"Yapp & Poths, 1996",5,350,280,420
,83,1400,0,3325
,163,350,0,1750
,163,350,0,1750
,174,6300,4700,7900
,188,6300,4700,7900
,367,350,0,1750
,447,5600,4900,6213
"Ekart et al., 1999",3,1170,500,2000
,5,810,410,1210
,6,730,330,1130
,7,370,0,970
,9,510,110,910
,10,1120,720,1520
,10,1170,770,1570
,13,740,440,1040
,13,440,140,740
,14,0,0,100
,21,780,380,1180
,25,1470,770,2200
,45,1950,1600,2200
,65,0,0,210
,66,820,520,1120
,67,430,130,730
,67,630,330,930
,75,2950,2340,3540
,80,1260,660,1860
,115,2260,1350,3300
,115,2710,1350,3300
,115,2690,1350,3300
,120,1480,1200,1800
,153,3180,2280,3480
,191,4560,3960,5160
,174,1920,1320,2520
,216,1650,900,3450
,216,1830,900,3450
,222,2850,900,3450
,241,710,400,1000
,241,610,300,900
,260,1000,600,1500
,294,0,0,300
,303,1470,850,2050
,303,1520,900,2100
,343,2060,1500,2550
,391,1560,960,2160
"Lee, 1999",133,2300,2200,2400
"Lee & Hisada, 1999",112,2450,1700,3200
"Driese et al., 2000",368,2850,2100,3600
,370,3150,2400,3900
,402,3300,2400,4200
,417,3600,2700,4500
"Cox et al., 2001",380,2800,2300,3200
,389,3900,2900,5200
"Royer et al., 2001",53,2034,1434,2634
,54,577,177,977
,55,1152,652,1652
,56,1217,727,1717
,56,1448,948,1948
,57,2041,1441,2641
,57,1185,685,1685
"Tanner et al., 2001",198,2480,1490,3470
,216,2250,1350,3150
"Robinson et al., 2002",129,560,244,895
"Nordt et al., 2002",64.3,1000,800,1200
,64.8,850,700,1000
,65.5,750,600,900
,66,1400,1100,1700
,67,750,600,900
,77,1200,900,1500
"Nordt et al., 2003",64.2,534,445,623
,64.2,488,407,570
,64.4,264,220,308
,64.6,334,278,389
,64.8,533,444,621
,64.9,161,134,188
,65.1,549,458,641
,65.2,832,693,971
,65.4,271,226,316
,65.5,0,0,0
,65.5,127,106,149
,65.6,45,37,52
,65.6,790,658,922
,65.7,1358,1132,1585
,65.9,1277,1064,1490
,65.9,796,664,929
,66,657,548,767
,66,385,321,449
,67.5,31,26,37
,67.7,512,427,597
,67.8,329,274,384
,68,475,396,554
,68.1,415,346,484
,68.3,607,506,708
,68.4,435,363,508
,68.5,1034,861,1206
,68.7,611,509,713
,68.9,927,773,1082
,69,1126,939,1314
,69.1,986,822,1150
,69.2,365,304,426
,69.3,115,95,134
,69.5,378,315,441
,70.4,763,636,890
,70.5,868,723,1012
,70.6,883,736,1030
"Tabor et al., 2004",283,300,300,3300
,270,300,300,2100
"Yapp, 2004",52,2700,2100,3300
"Ghosh et al., 2005 (and 1995, 2001)",68,1480,1110,1850
,173,2225,1675,2775
,222,1170,880,1460
,237,1210,910,1510
,285,715,540,890
"Freeman & Hayes, 1992",1,430,360,510
,8,340,285,400
,11,510,425,575
,13,420,375,500
,20,460,390,540
,40,670,570,780
,91,860,750,975
,94,1005,800,1200
,134,1085,940,1225
,154,975,650,1350
"Stott, 1992",56,500,450,550
,56,600,550,740
"Pagani et al., 2005 (and 1999a, 1999b)",5.4,261,240,331
,5.8,239,221,303
,6.1,249,229,315
,6.4,252,233,319
,6.8,278,256,356
,7.2,242,223,306
,7.3,264,243,334
,7.6,230,212,292
,8.3,237,218,301
,8.7,247,228,313
,9.1,227,209,287
,9.1,268,247,342
,9.6,258,238,327
,9.6,263,243,334
,9.6,234,216,296
,9.6,205,188,259
,9.8,247,227,312
,9.9,235,217,296
,10.1,245,226,310
,10.2,255,235,323
,10.2,244,225,309
,10.3,243,225,307
,10.5,251,231,318
,10.6,223,206,280
,10.7,246,227,311
,10.9,228,210,287
,10.9,238,220,300
,11.1,220,203,277
,11.3,232,214,293
,11.4,211,194,266
,11.5,204,188,255
,11.6,225,207,284
,11.9,245,226,310
,12.1,213,196,268
,12.2,202,186,254
,12.2,208,191,261
,12.3,213,196,269
,12.5,218,200,277
,12.7,210,193,264
,12.7,203,186,255
,12.8,224,206,283
,12.9,211,194,265
,12.9,228,210,287
,13.1,205,189,258
,13.2,225,208,283
,13.3,230,212,291
,13.3,229,211,288
,13.4,220,203,277
,13.4,223,206,280
,13.5,223,206,280
,13.5,203,187,254
,13.6,189,173,237
