Description of Factor,Value,Unit,Assumptions
Pounds of CO2 emitted per gallon,19.6,lbs CO2/gallon,"A gallon of gasoline is assumed to produce 8.887 kilograms (or 19.6 pounds) of CO2. This gasoline factor is from a recent regulation establishing GHG standards for model year 2012- 2016 vehicles (75 FR 25324, May 7, 2010)."
Ratio of emissions of greenhouse gases other than CO2,1.01,lbCO2e/lbCO2,"In addition to carbon dioxide, automobiles produce methane (CH4) and nitrous oxide (N2O) from the tailpipe, as well as HFC emissions from leaking air conditioners. The emissions of CH4 and N2O are related to vehicle miles traveled rather than fuel consumption, and the emissions of CH4, N2O, and HFCs are not as easily estimated from a vehicle as for CO2. On average, CO2 emissions represent 95-99% of the total greenhouse gas emissions from a passenger vehicle. CH4, N2O, and HFC emissions represent roughly 1-5% of the total greenhouse gas emissions from passenger vehicles, after accounting for the global warming potential of each greenhouse gas. To simplify this estimate, it is assumed that CH4, N2O, and HFCs account for 1.5 percent of emissions, and the CO2 estimate was multiplied by 100/98.65 to incorporate the contribution of the other greenhouse gases. These percentages are estimated from the EPA Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990 - 2011."
Passenger Vehicle Fuel Economy,21.6,miles per gallon (mpg),
Average miles traveled per year per vehicle,11398,miles per year,219 miles per week
Average emissions for a typical vehicle,10484,lbs CO2e/vehicle,"(1/21.6 mpg)*11,398 miles/year*19.6 lbs CO2/gallon*CO2e / CO2"
Average monthly consumption of natural gas,"5,500",cubic feet of natural gas/household,"Average monthly consumption of 5,500 cubic feet of gas, or average annual consumption of 66 thousand cubic feet per household. Average household size is 2.57."
Price per thousand cubic feet of natural gas,$10.68,dollars/1000 cubic feet,
Average cost of natural gas,$1.04,dollars/therm,
Carbon coefficient of natural gas,14.46,Tg C/QBtu ,116.89 lbs CO2/MMBtu
Emission factor (natural gas/therm),11.7,lbs CO2/therm natural gas,
Emission factor (natural gas/thousand cubic feet),119.58,lbs CO2/1000 cubic feet of natural gas,Carbon coefficient of natural gas * ratio of CO2 to carbon * energy content of natural gas * lbs to teragrams conversion * QBtu/1015Btu
Average annual CO2 emissions from natural gas per household,"7,892",lbs CO2/household (natural gas),"Typical annual CO2 emissions of about 7,900 pounds per household based on national average monthly consumption of 5,500 cubic feet of gas."
Average annual CO2 emissions from natural gas per household of one person,"3,071",lbs CO2/year/person,Average emissions per household/average household size. Assumes average household size of 2.57.
Average monthly cost of natural gas per household of one person,$22.86,dollars/month/person,Average monthly natural gas consumption/average household size*price per thousand cubic feet of natural gas/1000. Assumes average household size of 2.57.
Average monthly electricity consumption per household,943,kWh/month/household,"Average annual electricity consumption is 11,320 kWh per household, or 943 kWh per month per household. Average household size is 2.57."
Average US price per kWh,$0.12,dollars/kWh,
Electricity emissions factors are categorized by geographic subregion: see EGRID_DATA.,See Emission_Factors tab ,lbs CO2e/kWh,varies by subregion
Average annual CO2e emissions from electricity per household,14020,lbs CO2e/household (electricity),"Typical annual CO2 emissions are 14,020 pounds per household, assuming approximately 943 kWh per month."
Average annual CO2e emissions from electricity per household of one person,,lbs CO2e/year/person,Average emissions per household/average household size. Assumes average household size of 2.57.
Average montly cost of electricity per household of one person,$43.61,dollars/month/person,Average monthly electricity consumption/average household size*price per kWh of electricity. Assumes average household size of 2.57.
Average monthly consumption of fuel oil per household,46,gallons of fuel oil/month,"Average monthly consumption of 46 gallons of fuel oil, based on annual average consumption of 551 gallons of fuel oil per household per year. Average household size is 2.57."
Average price per gallon of fuel oil,$4.02,dollars/gallon,
Carbon coefficient of fuel oil ,20.17,Tg C/QBtu ,
Fuel oil emission factor (pounds of CO2/gallon fuel oil),22.61,lbs CO2/gallon of fuel oil,Carbon coefficient of fuel oil * ratio of CO2 to carbon * energy content of fuel oil * lbs to teragrams conversion * QBtu/1015Btu
Fuel oil emission factor (pounds of CO2/MMBtu fuel oil),163.05,lbs CO2/MMBtu,lbs CO2/gallon * Btu/gallon * Btu to MMBtu conversion
Average annual CO2 emissions from fuel oil per household,"12,460",lbs CO2/household (fuel oil),"Typical annual CO2 emissions of 12,460 pounds per household based on national average monthly consumption of 42 gallons of oil."
Average annual CO2 emissions from fuel oil per household of one person,"4,848",lbs CO2/year/person,Average emissions per household/average household size. Assumes average household size of 2.57.
Average monthly cost of fuel oil per household of one person,$71.82,dollars/year/person,Average monthly fuel oil consumption/average household size*price per gallon of fuel oil. Assumes average household size of 2.57.
Average monthly consumption of propane (LPG) per household,39,gallons of oil/month,"Average monthly consumption of 39 gallons of propane per month, based on annual average consumption of 464 gallons of propane per household per year. Average household size is 2.57."
Price per gallon of propane,$2.47,dollars/gallon propane,
Carbon coefficient for propane,16.83,Tg C/QBtu ,136.05 lbs CO2/MMBtu
Propane emission factor (pounds of CO2/gallon propane),12.43,lbs CO2/gallon propane,Carbon coefficient of propane * ratio of CO2 to carbon * energy content of propane * lbs to teragrams conversion * QBtu/1015Btu
Average annual emissions from propane per household,"5,766",lbs CO2/household (propane),"Typical annual CO2 emissions of 5,766 pounds per household based on national average monthly consumption of 39 gallons of propane."
Average annual emissions from propane per household of one person,"2,243",lbs CO2/year/person,Average emissions per household/average household size. Assumes average household size of 2.57.
Average monthly cost of propane per household of one person,$37.16,dollars/year/person,Average monthly propane consumption/average household size*price per gallon of propane. Assumes average household size of 2.57.
Average lbs CO2 equivalent generated from waste per person per year,692,lbs CO2e/year/person from waste,
Average number of pounds of CO2 equivalent per person per year that could be saved by recycling metal,-89.38,lbs CO2e/year/person avoided from recycling metal,"Calculations assume that it would be possible for households to recycle 100 percent of all recyclable materials generated as waste. The plastic material type used in the calculator includes PET and HDPE, and the metal material type includes aluminum and steel cans."
Average number of pounds of CO2 equivalent per person per year that could be saved by recycling plastic,-35.56,lbs CO2e/year/person avoided from recycling plastic,"Carbon dioxide equivalent emissions associated with household waste management were calculated using the total emissions for landfills (including incineration, landfill gas-to- energy projects, oxidation, and flaring) and the United States population estimates from EPA's Inventory of U.S. Greenhouse Gas Emissions and Sinks, 1990-2011. The emission factors for each material type were developed by EPA and presented in the Agency's report on greenhouse gas emissions from waste management and in the online WAste Reduction Model (WARM). These emission factors take into account the full material life cycle; i.e., not only emissions at the landfill, but also emissions and sequestration associated with production, manufacturing, remanufacturing, forest carbon storage due to reduced harvests, etc. The emission factor used for recycling materials in this calculator compares greenhouse gas emissions from recycling with those attributable to landfilling. This approach enables policy makers to evaluate, on a per-ton basis, the overall difference in greenhouse gas emissions between (1) recycling 1 ton of material and (2) manufacturing and then managing (post-consumer) 1 ton of the same material. Source: U.S. Environmental Protection Agency, 2011. Solid Waste Management and Greenhouse Gases: A Life-Cycle Assessment of Emissions and Sinks, EPA530-R-06-004. WARM is available in the Tools section of the Waste section of this Web site."
Average number of pounds of CO2 equivalent per person per year that could be saved by recycling glass,-25.39,lbs CO2e/year/person avoided from recycling glass,
