Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
00002,AK,AKMS,450.104
00006,AK,AKGD,1259.639
00007,AK,AKMS,450.104
00010,AK,AKMS,450.104
00011,AK,AKGD,1259.639
00012,CA,CAMX,613.285
00014,AZ,AZNM,1182.892
00015,AZ,AZNM,1182.892
00016,CA,CAMX,613.285
00017,CA,CAMX,613.285
00018,CA,CAMX,613.285
00019,CA,CAMX,613.285
00020,CA,CAMX,613.285
00022,CA,CAMX,613.285
00026,CA,CAMX,613.285
00027,CO,RMPA,1906.270
00028,CA,CAMX,613.285
00029,CA,CAMX,613.285
00031,CA,CAMX,613.285
00032,CA,CAMX,613.285
00033,CA,NWPP,846.969
00034,CA,NWPP,846.969
00035,CA,NWPP,846.969
00037,CA,CAMX,613.285
00038,CA,CAMX,613.285
00039,CA,CAMX,613.285
00040,CA,CAMX,613.285
00041,FL,FRCC,1201.793
00042,FL,FRCC,1201.793
00043,FL,FRCC,1201.793
00044,CA,CAMX,613.285
00045,FL,FRCC,1201.793
00047,CA,CAMX,613.285
00048,CA,CAMX,613.285
00049,CA,NWPP,846.969
00050,CA,CAMX,613.285
00051,CA,CAMX,613.285
00052,CA,CAMX,613.285
00053,FL,FRCC,1201.793
00054,CA,CAMX,613.285
00055,CA,CAMX,613.285
00056,ID,NWPP,846.969
00058,CA,CAMX,613.285
00059,MN,MROW,1545.110
00060,MN,MROW,1545.110
00063,MT,NWPP,846.969
00064,NM,AZNM,1182.892
00065,CA,CAMX,613.285
00066,NM,AZNM,1182.892
00067,OK,SPSO,1587.554
00068,OR,NWPP,846.969
00069,OR,NWPP,846.969
00070,OR,NWPP,846.969
00071,UT,NWPP,846.969
00072,WA,NWPP,846.969
00073,WA,NWPP,846.969
00074,WA,NWPP,846.969
00076,WA,NWPP,846.969
00077,OR,NWPP,846.969
00084,NC,SRVC,1079.572
00087,FL,FRCC,1201.793
00097,FL,FRCC,1201.793
00098,FL,FRCC,1201.793
00100,UT,NWPP,846.969
00116,LA,SRMV,1033.584
00119,LA,SRMV,1033.584
00121,LA,SRMV,1033.584
00127,ME,NEWE,727.603
00130,ME,NEWE,727.603
00134,ME,NEWE,727.603
00135,ME,NEWE,727.603
00137,ME,NEWE,727.603
00138,ME,NEWE,727.603
00139,ME,NEWE,727.603
00141,ME,NEWE,727.603
00151,ME,NEWE,727.603
00152,MD,RFCE,1007.037
00158,MA,NEWE,727.603
00160,MN,MROW,1545.110
00161,MN,MROW,1545.110
00164,MN,MROW,1545.110
00165,MN,MROW,1545.110
00166,MN,MROW,1545.110
00168,NH,NEWE,727.603
00172,NH,NEWE,727.603
00173,NH,NEWE,727.603
00174,NH,NEWE,727.603
00176,NH,NEWE,727.603
00177,NH,NEWE,727.603
00179,NH,NEWE,727.603
00180,NH,NEWE,727.603
00181,NH,NEWE,727.603
00182,NH,NEWE,727.603
00183,NH,NEWE,727.603
00184,NH,NEWE,727.603
00185,NH,NEWE,727.603
00188,TX,ERCT,1222.883
00195,WA,NWPP,846.969
00197,AZ,AZNM,1182.892
00198,AK,AKGD,1259.639
00199,AZ,AZNM,1182.892
00501,NY,NYLI,1341.010
00544,NY,NYLI,1341.010
01001,MA,NEWE,727.603
01002,MA,NEWE,727.603
01003,MA,NEWE,727.603
01004,MA,NEWE,727.603
01005,MA,NEWE,727.603
01007,MA,NEWE,727.603
01008,MA,NEWE,727.603
01009,MA,NEWE,727.603
01010,MA,NEWE,727.603
01011,MA,NEWE,727.603
01012,MA,NEWE,727.603
01013,MA,NEWE,727.603
01014,MA,NEWE,727.603
01020,MA,NEWE,727.603
01021,MA,NEWE,727.603
01022,MA,NEWE,727.603
01026,MA,NEWE,727.603
01027,MA,NEWE,727.603
01028,MA,NEWE,727.603
01029,MA,NEWE,727.603
01030,MA,NEWE,727.603
01031,MA,NEWE,727.603
01032,MA,NEWE,727.603
01033,MA,NEWE,727.603
01034,MA,NEWE,727.603
01035,MA,NEWE,727.603
01036,MA,NEWE,727.603
01037,MA,NEWE,727.603
01038,MA,NEWE,727.603
01039,MA,NEWE,727.603
01040,MA,NEWE,727.603
01041,MA,NEWE,727.603
01050,MA,NEWE,727.603
01053,MA,NEWE,727.603
01054,MA,NEWE,727.603
01056,MA,NEWE,727.603
01057,MA,NEWE,727.603
01059,MA,NEWE,727.603
01060,MA,NEWE,727.603
01061,MA,NEWE,727.603
01062,MA,NEWE,727.603
01063,MA,NEWE,727.603
01066,MA,NEWE,727.603
01068,MA,NEWE,727.603
01069,MA,NEWE,727.603
01070,MA,NEWE,727.603
01071,MA,NEWE,727.603
01072,MA,NEWE,727.603
01073,MA,NEWE,727.603
01074,MA,NEWE,727.603
01075,MA,NEWE,727.603
01077,MA,NEWE,727.603
01079,MA,NEWE,727.603
01080,MA,NEWE,727.603
01081,MA,NEWE,727.603
01082,MA,NEWE,727.603
01083,MA,NEWE,727.603
01084,MA,NEWE,727.603
01085,MA,NEWE,727.603
01086,MA,NEWE,727.603
01088,MA,NEWE,727.603
01089,MA,NEWE,727.603
01090,MA,NEWE,727.603
01092,MA,NEWE,727.603
01093,MA,NEWE,727.603
01094,MA,NEWE,727.603
01095,MA,NEWE,727.603
01096,MA,NEWE,727.603
01097,MA,NEWE,727.603
01098,MA,NEWE,727.603
01101,MA,NEWE,727.603
01102,MA,NEWE,727.603
01103,MA,NEWE,727.603
01104,MA,NEWE,727.603
01105,MA,NEWE,727.603
01106,MA,NEWE,727.603
01107,MA,NEWE,727.603
01108,MA,NEWE,727.603
01109,MA,NEWE,727.603
01111,MA,NEWE,727.603
