year,temp
443.5,33.8
443.5,35.7
444.5,28.4
444.5,29.7
445,31.6
445,31
445.7,38
445.7,33.2
446,35.9
446,37.4
446,38.9
443.5,39.6
443.5,39.1
443.5,41.3
443.5,45.1
444.5,39.6
444.5,40.6
445.7,46
446,41.5
443.5,34.9
445.7,48.2
424.6,32.98
424.65,28.525
424.7,32.35
424.75,33.61
424.9,33.385
424.95,36.31
425.05,30.73
425.07,31.135
425.1,37.66
432.5,28.12
432.52,30.865
432.54,32.98
432.56,32.845
432.58,33.115
433.3,33.79
433.4,33.385
427.2,27.265
427.3,27.085
427.5,28.705
427.8,26.86
428.1,26.05
429.2,27.085
429.4,28.66
429.6,26.86
429.8,29.65
430,29.92
430.6,29.11
430.8,27.85
431,27.13
431.2,28.435
431.5,28.21
432.2,23.035
432.4,23.485
433.6,27.67
433.7,27.58
434,27.94
434.5,32.44
435,31.63
435.1,29.83
435.5,30.64
436,31.855
436.2,30.19
436.5,33.97
437,33.97
437.5,31.855
438,29.875
438.2,33.25
438.4,32.485
438.5,29.56
438.7,30.775
439,31.54
439.2,29.47
440,29.605
441,30.64
441.2,29.965
441.6,25.42
442,30.64
442.7,27.445
443,29.38
443.3,28.255
443.5,28.93
421,32.08
421.2,32.485
421.3,30.82
421.5,31.135
421.7,29.605
421.8,27.22
422.2,28.03
422.4,30.955
422.8,31.585
422.8,29.74
423.2,28.75
423.6,28.525
423.8,30.82
424.1,29.335
425,31.27
425.7,29.47
425.8,28.345
426.2,28.84
426.2,27.94
426.7,26.86
427.53,25.87
427.7,28.93
427.8,27.625
428.5,20.785
428.7,24.16
428.85,23.845
429.1,27.715
429.8,24.16
430.05,25.825
430.35,25.555
430.4,26.995
430.7,27.04
430.9,23.935
431.1,24.34
431.2,26.725
431.5,25.06
431.6,21.73
431.8,22.855
431.9,22.225
432,22.945
432.1,22.405
432.2,22.225
432.4,22.72
432.45,23.62
432.48,24.07
432.49,23.845
432.63,26.95
432.78,25.51
433.19,27.58
433.48,27.895
433.59,25.645
433.71,28.705
433.8,28.885
433.92,29.65
434.11,29.515
434.3,31.045
434.5,28.435
434.68,28.75
435.1,29.02
435.1,29.2
435.25,28.525
435.5,28.795
435.61,28.705
436.1,30.145
436.35,31.585
436.4,30.19
436.45,30.64
436.45,28.615
436.65,30.685
436.8,28.435
436.9,30.28
437.1,30.19
437.6,26.725
438.9,29.155
439.45,31.09
441,29.875
437.5,29.38
439,27.085
439.1,24.205
440.5,28.21
440.8,28.48
441.1,28.075
442,25.105
442,25.825
442.4,27.355
443,24.43
443.2,26.725
443.5,25.195
443.8,22.495
423.5,29.38
425.1,32.215
425.4,30.595
425.5,33.475
425.7,36.13
425.9,30.595
426.5,31.855
427.5,30.505
430,26.365
433.4,29.605
392.52,32.85
392.9,28.44
393.05,25.2
393.31,31.36
393.61,32.26
393.91,31.45
395.98,28.21
398.71,27.67
401.18,29.83
402.97,37.8
403,34.24
403.02,33.52
403.03,30.82
403.05,31.05
403.12,31.63
405.01,30.06
405.01,29.88
405.49,31.72
405.55,27.22
405.69,26.95
405.7,26.86
406.44,26.95
406.51,26.23
406.59,27.13
407.31,26.5
407.39,26.95
408.63,27.94
408.66,28.75
409.01,31.59
409.31,27.49
409.43,31.86
409.44,27.99
409.45,27.18
409.46,28.93
409.49,28.35
409.5,27
409.53,25.29
409.53,27.76
409.55,27.04
409.56,31.63
409.56,27.04
409.58,27.81
409.6,29.34
409.63,28.8
409.64,27.94
409.64,30.64
409.65,28.39
409.66,27.9
409.66,30.78
409.69,29.79
409.7,30.19
409.73,29.16
409.73,30.37
409.75,28.35
409.76,29.34
409.78,27.67
409.81,31.32
409.86,34.24
409.94,32.31
409.96,32.35
410.19,36
410.29,33.97
410.43,33.7
410.7,32.44
410.72,30.91
410.78,44.46
410.83,31.86
410.89,36.31
411.52,34.24
411.74,37.8
411.97,31.77
412.08,33.93
412.5,31.81
413.04,33.16
413.62,32.49
413.66,37.35
413.71,34.29
413.78,34.15
413.78,33.84
413.83,35.82
413.92,34.33
413.94,34.87
413.96,35.68
413.96,33.79
414.1,33.93
414.22,39.37
414.25,37.3
414.29,36.76
414.32,40.09
414.32,32.67
414.34,37.62
414.53,34.38
414.85,32.62
414.88,33.61
415.59,32.53
415.69,31.14
415.71,30.55
415.81,32.31
415.87,33.16
415.87,32.89
415.88,32.08
415.92,32.49
415.92,32.26
416.29,34.6
416.31,33.12
358.89,29.43
359.1,32.44
359.19,27
359.37,27.63
359.44,24.88
359.53,25.69
359.57,34.6
359.68,25.65
360.42,28.17
360.57,27.54
360.72,27.18
360.87,24.88
360.97,28.53
361.14,28.93
361.7,31.86
361.77,28.89
361.84,30.96
362.02,31.72
362.04,31.5
362.15,31.14
362.32,33.25
362.77,32.8
362.79,23.85
362.89,24.66
362.95,31.63
363.1,31.54
363.28,31
363.38,21.64
363.43,31.5
363.65,30.46
363.7,29.74
363.76,31.27
363.8,30.64
363.87,26.77
363.88,30.82
363.9,24.7
363.94,31.14
364,32.22
364.15,30.6
364.26,28.98
364.29,24.97
364.42,29.61
364.57,24.97
364.59,29.34
364.68,27.99
364.73,24.3
364.81,25.83
364.83,35.95
364.89,29.02
364.95,26.19
365.02,24.7
365.04,31
365.26,32.35
365.32,34.83
365.37,34.6
365.39,29.11
365.6,31.9
365.6,33.25
365.6,26.55
365.76,25.69
365.82,30.64
365.93,31.9
365.97,24.97
366.04,29.65
366.06,32.35
366.11,31.9
366.16,30.64
366.18,27.72
366.19,31.9
366.25,33.3
366.34,29.07
366.36,25.2
366.36,33.39
366.41,33.25
366.43,33.43
366.49,29.74
366.49,32.58
366.55,32.04
366.56,30.24
366.61,31.23
366.63,25.2
366.64,31.9
366.66,28.08
366.66,33.48
366.76,27.9
366.84,32.17
366.88,32.85
367.06,30.46
367.09,29.07
367.13,32.04
367.22,32.22
367.22,34.6
367.35,32.94
367.4,32.26
367.42,34.15
367.54,32.31
367.65,31
367.78,33.12
367.8,32.53
367.88,31.18
367.91,31.32
367.97,31.99
368.04,33.7
368.17,32.53
368.23,35.77
368.46,32.4
368.77,32.8
368.78,32.98
368.86,31.9
369.03,36.4
369.1,33.7
369.16,31.68
369.24,30.01
369.49,33.25
369.52,33.12
369.59,32.53
369.79,36.4
369.81,30.28
369.88,33.34
369.95,30.82
369.95,36.04
370.01,34.47
370.04,29.7
370.04,31.95
370.12,33.25
370.14,35.1
370.16,29.79
370.21,32.04
370.23,36.76
370.34,31.59
370.34,33.3
370.45,30.24
370.45,28.75
370.58,28.89
370.62,33.57
370.63,28.75
370.69,32.8
370.74,30.28
370.81,31.68
370.87,31.5
370.9,28.3
370.93,35.5
371.06,27.45
371.08,30.73
371.08,33.43
371.1,35.37
371.13,29.47
371.2,31.45
371.27,33.25
371.3,34.51
371.37,35.05
371.37,31
371.41,34.47
371.44,32.8
371.46,35.5
371.48,35.95
371.49,32.89
371.5,29.88
371.52,34.6
371.57,33.48
371.59,31.45
371.71,28.12
371.73,31.45
371.78,27.81
371.86,27.85
371.88,29.65
371.89,32.04
371.93,27.4
371.95,30.69
371.97,29.52
372.01,28.8
372.02,32.76
372.07,32.53
372.08,31.77
372.08,27.85
372.11,35.73
372.16,34.92
372.2,30.1
372.21,33.3
372.24,29.97
372.24,31.9
372.24,31
372.26,29.65
372.34,33.7
372.38,34.29
372.38,32.4
372.42,28.03
372.43,35.41
372.59,34.38
372.74,36.9
372.75,29.56
372.8,30.55
372.8,33.84
372.82,30.55
372.94,34.56
372.98,34.69
372.98,34.6
372.98,33.7
373,34.11
373.15,31.59
373.19,30.64
373.19,30.28
373.19,33.34
373.34,31.9
373.35,33.7
373.38,35.05
373.38,32.44
373.4,35.05
373.44,33.25
373.44,34.2
373.46,31.45
373.61,27.22
373.62,29.7
373.65,32.67
373.65,37.75
373.68,34.02
373.78,31
373.84,31.23
373.87,29.97
373.87,30.69
373.88,30.01
373.92,29.02
373.97,34.65
373.99,29.65
374.03,31.45
374.05,29.65
374.07,33.93
374.07,31
374.1,31.95
374.13,36.85
374.16,36.4
374.21,31.77
374.22,28.75
374.26,32.8
374.26,29.43
374.26,28.66
374.29,35.1
374.33,30.55
374.34,27.85
374.36,31.59
374.4,34.6
374.4,31.27
374.43,29.07
374.43,30.15
374.44,34.15
374.45,32.8
374.46,32.67
374.48,31.9
374.49,31
374.5,31.45
374.54,20.92
374.55,30.37
374.63,31.41
374.63,32.35
374.72,33.52
374.76,32.71
374.82,31
374.83,30.6
374.84,31.59
374.97,32.13
374.99,27.85
375.14,31.36
375.18,32.8
375.19,30.46
375.27,28.3
375.32,29.83
375.42,33.7
375.42,33.7
380.89,20.2
381.01,25.92
381.13,26.32
381.13,26.14
381.35,27
381.56,23.8
381.73,26.82
381.77,24.79
381.84,25.6
381.86,22.27
381.96,21.6
381.96,23.08
382.05,22.18
382.09,25.47
382.16,24.7
382.18,20.25
382.21,24.66
382.34,21.87
382.47,22.54
382.56,22.23
382.62,23.26
382.75,23.58
382.77,22.05
382.8,23.67
382.84,23.67
382.89,24.07
382.91,23.17
383.02,22.72
383.08,23.58
383.09,23.53
383.12,22.72
383.16,22.05
383.19,22.63
383.22,20.65
383.25,20.2
383.32,20.56
383.35,22.23
383.4,23.76
383.42,23.13
383.43,22.95
383.56,22.32
383.67,20.56
383.99,19.08
384.01,20.11
384.02,19.84
384.18,21.69
384.22,20.97
384.33,20.25
384.34,25.6
384.42,19.84
384.43,18.4
384.48,20.47
384.52,19.35
384.62,17.64
385,19.98
385.48,18.31
385.79,22.23
386.1,25.6
386.33,24.7
386.4,18
386.41,25.15
386.69,27.85
386.74,18.67
386.99,24.79
386.99,24.07
387.02,25.96
387.15,21.19
387.16,24.43
387.25,25.15
387.25,29.52
387.26,24.39
387.27,23.98
387.29,22.95
387.63,24.7
387.64,19.89
388.13,21.46
388.42,19.84
388.49,23.53
388.98,18.67
389.21,24.48
389.55,20.38
389.61,22.14
389.76,24.21
389.8,20.92
390.67,28.98
390.86,20.79
390.93,25.24
391.09,21.73
391.1,23.8
391.11,27.76
391.33,24.07
391.37,25.65
391.44,19.75
391.54,26.23
391.57,22.77
391.85,27
391.92,25.38
391.99,22
392.22,23.67
392.49,22.41
392.54,22.05
392.7,19.98
392.85,22.86
393.09,23.71
393.17,20.34
393.18,25.65
393.46,26.68
393.6,22.32
393.6,25.92
393.73,22.81
394,24.48
394.14,22.68
394.23,24.43
394.56,23.17
394.59,24.88
394.64,22.95
394.76,20.79
394.85,24.61
395.12,25.29
395.32,23.22
395.57,22
395.66,22.86
395.95,21.24
396.07,21.64
396.99,20.61
397.14,19.62
397.24,21.15
397.71,20.65
397.89,22.59
398.03,23.04
398.39,19.48
398.84,21.01
398.99,22.45
399.32,22.27
399.46,19.03
400.11,25.65
400.43,24.07
410.35,22.32
410.78,22.14
411.03,29.7
